352974, -1, -1, -1, -1
370707, 81, 83, 80, 89
428715, -1, -1, 228, 231
405121, 91, 98, 91, 98
368291, 83, 103, 77, 102
451043, 71, 83, 65, 84
427771, 222, 229, 216, 239
351554, 106, 125, 102, 125
423034, 64, 71, 60, 75
448263, 146, 154, 144, 166
432852, 184, 204, 173, 205
410131, 230, 259, 226, 266
366034, 95, 99, 90, 99
410277, 64, 77, 62, 85
343900, 54, 56, 44, 61
452204, 130, 133, 128, 141
436460, 20, 30, 18, 37
404997, 120, 124, 118, 125
402365, 59, 60, 57, 67
410688, 82, 85, 80, 88
374148, 118, 121, -1, -1
442126, 86, 92, 80, 101
356095, 105, 109, 103, 115
435683, -1, -1, -1, -1
444686, 131, 134, 123, 141
439766, 78, 86, 72, 96
403481, 172, 195, 167, 184
445474, 140, 144, 138, 151
368044, 196, 220, 194, 222
344171, -1, -1, -1, -1
370182, 80, 83, 75, 89
444804, 191, 206, 190, 215
452629, 62, 64, 60, 66
349681, 104, 108, 102, 112
402659, -1, -1, -1, -1
367805, 149, 178, 157, 189
404470, 34, 38, 32, 44
348094, 351, 367, 350, 377
448648, -1, -1, -1, -1
402018, 95, 100, 93, 107
443235, 98, 105, 96, 111
400135, 40, 45, -1, -1
408901, 11, 22, -1, -1
449738, -1, -1, -1, -1
345699, 122, 132, 115, 133
342930, 51, 54, 46, 59
345415, 69, 77, 66, 88
410758, 76, 86, 75, 87
448364, 85, 93, 77, 98
373468, 163, 167, 160, 180
